날짜,기온,해면기압,일사량,상대습도,풍속,오존농도,열지수
2025-07-01,26.5,1005.8,18.07,69.3,3.07,31.6,27.4
2025-07-02,25.6,1004.5,17.15,73.2,2.71,28.0,26.7
2025-07-03,25.0,1003.5,17.44,76.6,2.37,29.6,26.3
2025-07-04,24.6,1005.3,19.85,74.4,2.26,30.7,25.8
2025-07-05,25.4,1006.0,19.03,62.7,2.95,32.7,26.0
2025-07-06,25.9,1008.7,20.5,73.1,2.66,29.1,27.1
2025-07-07,26.1,1006.3,17.84,72.1,2.72,31.9,27.2
2025-07-08,27.9,1007.6,16.91,73.4,2.05,29.7,29.1
2025-07-09,27.3,1005.4,17.81,78.2,2.84,30.3,28.7
2025-07-10,25.7,1004.4,18.71,63.3,2.69,33.3,26.4
2025-07-11,26.8,1004.8,18.67,69.1,2.21,25.1,27.9
2025-07-12,26.2,1005.2,16.5,73.7,2.38,27.5,27.6
2025-07-13,26.4,1009.6,18.73,64.8,2.58,27.3,27.4
2025-07-14,26.9,1005.3,19.12,76.8,2.49,25.2,28.5
2025-07-15,27.4,1007.9,23.41,72.2,2.36,30.7,28.9
2025-07-16,26.8,1005.5,22.46,73.8,2.38,35.6,28.4
2025-07-17,28.1,1008.4,17.78,67.7,2.29,33.3,29.5
2025-07-18,26.6,1007.8,19.07,72.9,2.37,35.5,28.3
2025-07-19,27.7,1007.2,17.25,73.4,2.71,39.2,29.6
2025-07-20,30.1,1007.6,19.16,69.6,1.44,40.9,31.9
2025-07-21,28.5,1007.0,21.17,69.0,2.07,37.9,30.4
2025-07-22,29.8,1008.9,23.17,68.6,2.13,43.4,31.8
2025-07-23,29.1,1007.9,20.12,63.4,2.09,41.0,31.0
2025-07-24,29.8,1007.1,20.72,65.6,1.81,39.7,32.1
2025-07-25,29.7,1007.4,18.5,64.8,1.31,41.9,32.1
2025-07-26,30.0,1009.9,22.56,66.3,1.85,40.7,32.6
2025-07-27,29.9,1012.4,21.42,68.0,2.18,44.0,32.8
2025-07-28,31.3,1010.6,22.86,59.1,1.12,47.1,33.9
2025-07-29,30.6,1010.5,22.68,62.1,1.76,52.0,33.6
2025-07-30,32.2,1011.4,24.51,67.9,1.33,56.0,35.6
2025-07-31,32.8,1013.3,21.9,58.4,1.35,47.9,35.9
2025-08-01,32.5,1011.9,22.74,57.6,0.99,54.3,35.6
2025-08-02,32.2,1011.1,29.48,61.3,1.16,50.8,35.6
2025-08-03,32.9,1013.5,23.52,63.6,1.62,55.9,36.6
2025-08-04,32.4,1012.6,23.99,60.1,1.38,54.5,35.9
2025-08-05,33.4,1014.3,29.31,65.3,1.72,49.5,37.2
2025-08-06,31.2,1012.2,31.19,63.5,1.56,57.7,34.9
2025-08-07,32.3,1010.0,23.73,63.6,1.36,52.7,35.9
2025-08-08,30.8,1009.7,24.99,62.7,1.78,52.3,34.3
2025-08-09,31.0,1014.0,26.0,70.2,1.44,49.9,34.8
2025-08-10,33.0,1013.9,28.17,60.6,1.61,50.1,36.2
2025-08-11,32.3,1010.7,22.91,54.0,1.34,52.2,35.0
2025-08-12,30.7,1010.1,23.82,69.0,1.52,49.0,34.0
2025-08-13,29.7,1012.5,25.21,61.5,1.37,49.1,32.5
2025-08-14,28.2,1008.3,24.12,64.4,1.96,47.8,30.9
2025-08-15,29.7,1008.3,22.18,70.0,1.4,49.1,32.5
2025-08-16,31.7,1010.2,22.13,59.0,2.07,42.6,33.8
2025-08-17,29.7,1008.3,19.42,61.2,1.86,37.7,31.7
2025-08-18,28.5,1008.6,21.01,60.4,2.35,43.9,30.4
2025-08-19,29.0,1008.0,20.52,64.3,2.3,38.4,30.9
2025-08-20,27.1,1008.5,21.02,69.9,2.69,41.5,29.0
2025-08-21,27.8,1009.8,19.22,70.8,2.43,38.1,29.6
2025-08-22,27.8,1007.6,20.73,70.3,1.8,35.5,29.5
2025-08-23,27.4,1008.2,21.41,64.0,2.3,36.0,28.7
2025-08-24,27.9,1003.9,19.6,60.8,2.02,40.0,28.9
2025-08-25,27.4,1006.7,19.72,70.6,2.26,39.6,28.8
2025-08-26,27.5,1005.4,18.98,68.8,2.9,33.0,28.7
2025-08-27,26.2,1004.7,18.71,72.8,2.67,32.7,27.6
2025-08-28,27.4,1005.1,17.27,74.0,2.29,35.0,28.8
2025-08-29,27.9,1005.8,19.02,71.9,2.22,28.9,29.1
2025-08-30,25.7,1007.6,18.18,74.5,2.55,32.1,27.1
2025-08-31,25.7,1004.2,22.04,72.5,2.19,30.8,26.9
