구,지역유형,월,평균기온,최고기온,최저기온,위도,경도
강남구,강남도심,7,27.4,31.1,24.8,37.5172,127.0473
강남구,강남도심,8,28.5,31.9,25.5,37.5172,127.0473
서초구,강남도심,7,27.3,31.3,24.5,37.4837,127.0324
서초구,강남도심,8,27.9,32.5,25.5,37.4837,127.0324
중구,강남도심,7,27.3,31.9,24.7,37.5641,126.9979
중구,강남도심,8,27.9,32.2,25.0,37.5641,126.9979
마포구,한강변,7,25.7,29.6,22.3,37.5663,126.9019
마포구,한강변,8,26.1,30.6,22.8,37.5663,126.9019
용산구,한강변,7,25.3,29.0,22.0,37.5326,126.9905
용산구,한강변,8,26.4,30.6,23.4,37.5326,126.9905
영등포구,한강변,7,26.1,29.9,22.6,37.5264,126.8963
영등포구,한강변,8,26.0,30.3,23.2,37.5264,126.8963
광진구,한강변,7,25.4,28.9,21.7,37.5384,127.0822
광진구,한강변,8,26.5,30.8,23.5,37.5384,127.0822
강동구,한강변,7,25.2,29.2,21.8,37.5301,127.1238
강동구,한강변,8,26.4,30.7,23.2,37.5301,127.1238
송파구,한강변,7,25.6,29.6,22.3,37.5145,127.1059
송파구,한강변,8,26.5,29.9,23.2,37.5145,127.1059
성동구,한강변,7,25.2,28.9,21.8,37.5633,127.0364
성동구,한강변,8,26.8,30.5,23.9,37.5633,127.0364
강서구,한강변,7,24.8,28.6,21.5,37.5509,126.8495
강서구,한강변,8,26.5,30.8,23.5,37.5509,126.8495
은평구,산근처,7,24.7,27.9,22.0,37.6027,126.9291
은평구,산근처,8,25.6,28.6,22.6,37.6027,126.9291
종로구,산근처,7,24.5,28.1,21.6,37.5735,126.979
종로구,산근처,8,25.9,29.3,23.3,37.5735,126.979
성북구,산근처,7,25.0,28.3,22.3,37.5894,127.0167
성북구,산근처,8,25.5,28.8,22.7,37.5894,127.0167
도봉구,산근처,7,24.4,28.0,21.3,37.6688,127.0471
도봉구,산근처,8,25.7,29.4,23.1,37.6688,127.0471
노원구,산근처,7,25.0,28.4,22.0,37.6542,127.0568
노원구,산근처,8,25.7,28.5,22.5,37.6542,127.0568
관악구,산근처,7,24.3,27.3,21.6,37.4784,126.9516
관악구,산근처,8,25.4,28.7,23.1,37.4784,126.9516
강북구,산근처,7,24.7,28.4,21.5,37.6396,127.0257
강북구,산근처,8,25.6,28.7,22.8,37.6396,127.0257
서대문구,산근처,7,25.1,27.8,22.3,37.5791,126.9368
서대문구,산근처,8,25.8,29.0,22.6,37.5791,126.9368
구로구,일반주거,7,25.9,29.4,23.0,37.4954,126.8874
구로구,일반주거,8,26.8,31.2,23.9,37.4954,126.8874
금천구,일반주거,7,25.5,29.3,22.6,37.4569,126.8956
금천구,일반주거,8,27.3,31.4,24.6,37.4569,126.8956
동대문구,일반주거,7,26.4,29.6,23.2,37.5744,127.0396
동대문구,일반주거,8,26.5,30.1,23.3,37.5744,127.0396
동작구,일반주거,7,26.1,29.7,22.7,37.5124,126.9393
동작구,일반주거,8,26.4,30.4,23.9,37.5124,126.9393
양천구,일반주거,7,26.6,31.5,23.7,37.5169,126.8664
양천구,일반주거,8,26.5,29.4,23.7,37.5169,126.8664
중랑구,일반주거,7,25.6,29.1,22.4,37.6063,127.0925
중랑구,일반주거,8,26.8,31.0,24.0,37.6063,127.0925
